koaid,night,order,wave_min,wave_max,n_valid,n_good,frac_good,frac_zero,snr_valid,snr_good,med_counts,med_frac_use,fwhm,flag_masked,flag_lowsnr,resid,resid_format,resid_det,nsigma,snr_rel,snr_rel_ratio,flag_anomaly,use
HI.19980715.38054,19980715,69,5129.7730,5203.4065,2040,2026,0.9931,0.0039,136.7147,136.6965,35579.2401,0.9972,1.8816,0,0,-0.0070,-0.0070,0.0000,0.0000,1.3142,1.0000,0,1
HI.19980715.38054,19980715,68,5205.1970,5279.9141,2040,2040,1.0000,0.0039,140.9466,140.9466,39881.2844,0.9972,1.8894,0,0,0.0009,0.0009,0.0000,0.0000,1.3550,0.9958,0,1
HI.19980715.38054,19980715,67,5282.8751,5358.7050,2040,2028,0.9941,0.0039,145.6151,145.5581,44876.0650,0.9974,1.8890,0,0,0.0073,0.0070,0.0003,0.3269,1.3994,1.0000,0,1
HI.19980715.38054,19980715,66,5362.9071,5439.8775,2040,2031,0.9956,0.0039,147.4666,147.4488,47206.8785,0.9972,1.8970,0,0,0.0050,0.0047,0.0002,0.2401,1.4176,0.9959,0,1
HI.19980715.38054,19980715,65,5445.3982,5523.5491,2040,2038,0.9990,0.0039,148.9188,148.9129,49328.6353,0.9973,1.8970,0,0,0.0007,0.0010,-0.0003,-0.2899,1.4316,0.9980,0,1
HI.19980715.38054,19980715,64,5530.4742,5609.8346,2040,2020,0.9902,0.0039,150.8402,150.7696,51778.2971,0.9972,1.8991,0,0,-0.0013,-0.0017,0.0004,0.4045,1.4495,0.9999,0,1
HI.19980715.38054,19980715,63,5618.2483,5698.8574,2040,2040,1.0000,0.0039,152.4018,152.4018,54105.5572,0.9971,1.9111,0,0,-0.0027,-0.0023,-0.0004,-0.3563,1.4652,0.9999,0,1
HI.19980715.38054,19980715,62,5708.8597,5790.7517,2041,2039,0.9990,0.0034,155.4044,155.4015,58275.1953,0.9970,1.9157,0,0,0.0002,0.0002,0.0000,0.0000,1.4940,1.0020,0,1
HI.19980715.38054,19980715,61,5802.4375,5885.6535,2041,2040,0.9995,0.0034,157.9560,157.9527,62317.2772,0.9970,1.9274,0,0,0.0021,0.0024,-0.0002,-0.2194,1.5185,1.0034,0,1
HI.19980715.38054,19980715,60,5899.1367,5983.7193,2041,2032,0.9956,0.0034,160.0162,160.0019,65670.9334,0.9969,1.9359,0,0,0.0021,0.0014,0.0006,0.6258,1.5382,1.0201,0,1
HI.19980715.38054,19980715,59,5999.1116,6085.1080,2041,2040,0.9995,0.0034,162.4087,162.4051,70195.4038,0.9968,1.9481,0,0,0.0031,0.0021,0.0009,0.9052,1.5613,1.0241,0,1
HI.19980715.38054,19980715,58,6102.5410,6189.9893,2041,2041,1.0000,0.0034,162.5052,162.5052,69538.1538,0.9967,1.9688,0,0,-0.0030,-0.0030,0.0000,0.0000,1.5623,1.0211,0,1
HI.19980715.38054,19980715,57,6209.5892,6261.8971,1165,1088,0.9339,0.4312,165.4899,165.1412,73708.3535,0.9994,2.0386,0,0,0.0026,0.0041,-0.0015,-1.4416,1.5877,1.0137,0,1
HI.19980716.52985,19980716,93,3806.1910,3860.6513,2037,2026,0.9946,0.0054,32.9409,32.9474,1179.6216,0.9697,2.2374,0,0,-0.0281,-0.0296,0.0014,1.3935,0.3686,0.8792,0,1
HI.19980716.52985,19980716,92,3847.5531,3902.6128,2037,2017,0.9902,0.0054,40.0312,40.0110,1740.9114,0.9707,2.3000,0,0,0.0186,0.0207,-0.0021,-2.0126,0.4476,0.8909,0,1
HI.19980716.52985,19980716,91,3889.8224,3945.4963,2037,2035,0.9990,0.0054,44.8062,44.8062,2180.0787,0.9729,2.3429,0,0,-0.0165,-0.0169,0.0004,0.3779,0.5012,0.9098,0,1
HI.19980716.52985,19980716,90,3933.0317,3989.3333,2037,2014,0.9887,0.0054,51.4144,51.4164,2901.6264,0.9726,2.3187,0,0,-0.0248,-0.0220,-0.0028,-2.7440,0.5752,0.9256,0,1
HI.19980716.52985,19980716,89,3977.2097,4034.1564,2037,2030,0.9966,0.0054,70.6474,70.7208,5706.3188,0.9786,2.3552,0,0,0.0659,0.0621,0.0038,3.6744,0.7911,0.9533,0,1
HI.19980716.52985,19980716,88,4022.3941,4079.9968,2037,2024,0.9936,0.0054,76.1546,76.1549,6725.1567,0.9768,2.3475,0,0,0.0438,0.0419,0.0019,1.8885,0.8519,0.9666,0,1
HI.19980716.52985,19980716,87,4068.6159,4126.8911,2037,2022,0.9926,0.0054,81.7864,81.8260,7909.9223,0.9763,2.3182,0,0,0.0266,0.0231,0.0035,3.4205,0.9154,0.9842,0,1
HI.19980716.52985,19980716,86,4115.9142,4174.8753,2038,2037,0.9995,0.0049,87.6450,87.6294,9281.4857,0.9770,2.2902,0,0,0.0188,0.0160,0.0028,2.6933,0.9803,0.9948,0,1
HI.19980716.52985,19980716,85,4164.3221,4223.9899,2038,2031,0.9966,0.0049,91.1346,91.1517,10124.8417,0.9761,2.2743,0,0,0.0117,0.0092,0.0025,2.4251,1.0197,1.0050,0,1
HI.19980716.52985,19980716,84,4213.8847,4274.2731,2037,2002,0.9828,0.0054,94.2338,94.0043,10965.2299,0.9758,2.2968,0,0,0.0020,0.0022,-0.0002,-0.2099,1.0516,1.0096,0,1
HI.19980716.52985,19980716,83,4264.6399,4325.7677,2039,2039,1.0000,0.0044,92.5387,92.5387,10493.3033,0.9756,2.2891,0,0,-0.0297,-0.0258,-0.0040,-3.8407,1.0352,1.0125,0,1
HI.19980716.52985,19980716,82,4316.6348,4378.5175,2039,2033,0.9971,0.0044,102.7163,102.7710,13511.8886,0.9758,2.3191,0,0,0.0013,0.0019,-0.0006,-0.5790,1.1497,1.0293,0,1
HI.19980716.52985,19980716,81,4369.9114,4432.5712,2039,2035,0.9980,0.0044,108.0375,108.0018,15303.7739,0.9766,2.2844,0,0,0.0054,0.0040,0.0014,1.3174,1.2082,1.0414,0,1
HI.19980716.52985,19980716,80,4424.5230,4487.9725,2039,2039,1.0000,0.0044,113.6164,113.6164,17471.1776,0.9763,2.2713,0,0,0.0104,0.0091,0.0013,1.2891,1.2710,1.0529,0,1
HI.19980716.52985,19980716,79,4480.5148,4544.7793,2039,2038,0.9995,0.0044,118.9956,118.9970,19773.3471,0.9760,2.2562,0,0,0.0124,0.0097,0.0027,2.6643,1.3312,1.0652,0,1
HI.19980716.52985,19980716,78,4537.9424,4603.0116,2038,2034,0.9980,0.0049,121.9161,121.9161,21106.4948,0.9763,2.2575,0,0,0.0091,0.0079,0.0012,1.1940,1.3639,1.0744,0,1
HI.19980716.52985,19980716,77,4596.8626,4662.8153,2039,2035,0.9980,0.0044,124.9985,124.9985,22593.8477,0.9771,2.2601,0,0,0.0092,0.0071,0.0020,1.9837,1.3983,1.0817,0,1
HI.19980716.52985,19980716,76,4657.3335,4724.1625,2039,2039,1.0000,0.0044,124.4595,124.4595,22393.6288,0.9781,2.2649,0,0,0.0008,0.0005,0.0003,0.2458,1.3923,1.0835,0,1
HI.19980716.52985,19980716,75,4719.4168,4785.8835,2000,2000,1.0000,0.0234,127.4502,127.4502,23889.8301,0.9791,2.2794,0,0,0.0083,0.0063,0.0020,1.9285,1.4258,1.0910,0,1
HI.19980716.52985,19980716,74,4783.1777,4850.5497,2000,1993,0.9965,0.0234,128.5115,128.5137,24501.7564,0.9798,2.2820,0,0,0.0113,0.0100,0.0014,1.3365,1.4377,1.0898,0,1
HI.19980716.52985,19980716,73,4848.6889,4918.2830,2039,1996,0.9789,0.0044,123.6119,123.7914,21899.5928,0.9796,2.2926,0,0,-0.0092,-0.0082,-0.0010,-0.9798,1.3848,1.0738,0,1
HI.19980716.52985,19980716,72,4916.0176,4986.5819,2039,2030,0.9956,0.0044,126.6104,126.6001,23587.0657,0.9787,2.3002,0,0,-0.0012,-0.0016,0.0004,0.4361,1.4163,1.0941,0,1
HI.19980716.52985,19980716,71,4985.2418,5056.8060,2039,2036,0.9985,0.0044,123.9693,123.9533,22184.5559,0.9750,2.2905,0,0,-0.0163,-0.0135,-0.0028,-2.7601,1.3866,1.0822,0,1
HI.19980716.52985,19980716,70,5056.4476,5129.0334,1927,1922,0.9974,0.0591,127.7845,127.7907,24202.5275,0.9738,2.2857,0,0,-0.0078,-0.0050,-0.0028,-2.6762,1.4296,1.0966,0,1
HI.19980716.52985,19980716,69,5129.7160,5203.3538,2040,2032,0.9961,0.0039,130.4281,130.3386,25724.4780,0.9703,2.2783,0,0,-0.0087,-0.0070,-0.0017,-1.6522,1.4581,1.1095,0,1
HI.19980716.52985,19980716,68,5205.1392,5279.8617,2040,2033,0.9966,0.0039,135.4910,135.4807,28866.4254,0.9660,2.2766,0,0,0.0007,0.0009,-0.0002,-0.2115,1.5156,1.1138,0,1
HI.19980716.52985,19980716,67,5282.8162,5358.6494,2040,2027,0.9936,0.0039,141.3412,141.3263,32897.6146,0.9622,2.2641,0,0,0.0091,0.0070,0.0021,2.0366,1.5810,1.1298,0,1
HI.19980716.52985,19980716,66,5362.8477,5439.8231,2040,2028,0.9941,0.0039,143.9026,143.9078,34712.9855,0.9547,2.2333,0,0,0.0061,0.0047,0.0014,1.3692,1.6099,1.1310,0,1
HI.19980716.52985,19980716,65,5445.3398,5523.4947,2040,2029,0.9946,0.0039,145.9610,145.9410,36565.4556,0.9495,2.2557,0,0,0.0010,0.0010,-0.0000,-0.0116,1.6326,1.1381,0,1
HI.19980716.52985,19980716,64,5530.4134,5609.7791,2040,2006,0.9833,0.0039,148.3558,148.2930,38525.1409,0.9407,2.2461,0,0,-0.0021,-0.0017,-0.0004,-0.4304,1.6589,1.1443,0,1
HI.19980716.52985,19980716,63,5618.1870,5698.8011,2040,1887,0.9250,0.0039,150.8655,151.1123,40755.4871,0.9317,2.2278,0,0,-0.0019,-0.0023,0.0004,0.4107,1.6905,1.1537,0,1
HI.19980716.52985,19980716,62,5708.7927,5790.6941,2041,1672,0.8192,0.0034,154.2672,154.3968,44025.6360,0.9233,2.2411,0,0,-0.0008,0.0002,-0.0010,-1.0173,1.7272,1.1585,0,1
HI.19980716.52985,19980716,61,5802.3730,5885.5963,2041,1355,0.6639,0.0034,158.1915,158.1817,48308.1846,0.9126,2.2497,0,0,0.0020,0.0024,-0.0004,-0.3969,1.7696,1.1693,0,1
HI.19980716.52985,19980716,60,5899.0748,5983.6615,2041,854,0.4184,0.0034,161.4525,160.9729,51491.4761,0.8937,2.2575,1,0,nan,0.0014,nan,nan,nan,nan,0,0
HI.19980716.52985,19980716,59,5999.0453,6085.0446,2041,760,0.3724,0.0034,164.4691,163.5631,55456.7073,0.8893,2.2978,1,0,nan,0.0021,nan,nan,nan,nan,0,0
HI.19980716.52985,19980716,58,6102.4782,6189.9296,2041,460,0.2254,0.0034,165.1424,161.9920,56351.6558,0.8731,2.4470,1,0,nan,-0.0030,nan,nan,nan,nan,0,0
HI.19980716.52985,19980716,57,6209.5426,6261.8430,1165,417,0.3579,0.4312,167.3677,155.3568,58534.1307,0.8505,2.2810,1,0,nan,0.0041,nan,nan,nan,nan,0,0
HI.19980717.32194,19980717,93,3806.2151,3860.6739,2037,1646,0.8081,0.0054,38.5167,38.7293,1601.7312,0.9195,2.2900,0,0,-0.0247,-0.0296,0.0049,4.7188,0.4042,0.9643,0,1
