filename,koaid,mjd_hdr,exptime,ra,dec,norder,vel_type,vel_corr,vel_corr_spread,v_pypeit_stored,v_pypeit_helio,v_pypeit_bary,v_astropy_helio,v_astropy_bary,v_astropy_bary_mid,d_helio_bary,d_pypeit_astropy_helio,d_pypeit_astropy_bary,d_start_mid
spec1d_HI.19980715.38054-Star+Iodine_HIRES_19980715T103414.794.fits,HI.19980715.38054,51009.440449,260.0,296.744625,34.41905555555555,37,heliocentric,1.0000163058854559,0.0,4.888341625999718,4.888341625981708,4.8818201267618155,4.875298627541926,4.886413519501869,4.882572152727318,-11.114891959943307,13.042998439781961,-4.593392740053659,3.8413667745516022
spec1d_HI.19980716.52985-Star+Iodine_HIRES_19980716T144306.269.fits,HI.19980716.52985,51010.613267,400.0,296.73949999999996,34.42219444444444,37,heliocentric,1.0000141288947102,0.0,4.235706150856186,4.235706150853606,4.229173426537684,4.222640702221764,4.233741619295143,4.230722050709289,-11.10091707337979,13.065448631842003,-4.568192757459677,3.01956858585406
spec1d_HI.19980717.32194-Star+Iodine_HIRES_19980717T085636.442.fits,HI.19980717.32194,51011.372644,300.0,296.7405416666666,34.41986111111111,37,heliocentric,1.0000149663846611,0.0,4.4867756692704255,4.486775669257218,4.480235293685343,4.473694918113468,4.484827466117082,4.480696940253324,-11.132548003613962,13.080751143750291,-4.592172431738817,4.130525863757839
spec1d_HI.19980717.48747-Star+Iodine_HIRES_19980717T133228.781.fits,HI.19980717.48747,51011.564222,400.0,296.74199999999996,34.41672222222222,37,heliocentric,1.0000134482517697,0.0,4.0316573443119195,4.0316573442849,4.02511464743902,4.0185719505931425,4.029694365238659,4.025417586627981,-11.122414645516443,13.085393691757652,-4.579717799638949,4.2767786106781
spec1d_HI.19980718.29255-Star+Iodine_HIRES_19980718T080737.200.fits,HI.19980718.29255,51012.338625,250.0,296.7405833333333,34.416333333333334,37,heliocentric,1.0000142686059599,0.0,4.2775899351086775,4.277589935118128,4.271039590624799,4.26448924613147,4.275628451318569,4.272493909493106,-11.139205187099321,13.100688986657616,-4.588860693770513,3.134541825463799
spec1d_HI.19980718.38646-Star+Iodine_HIRES_19980718T104407.325.fits,HI.19980718.38646,51012.447307,215.0,296.74612499999995,34.41697222222222,37,heliocentric,1.0000133917456728,0.0,4.014717469938169,4.014717469937015,4.008166850754969,4.001616231572922,4.012761580031507,4.009589515285295,-11.145348458584614,13.101238364092715,-4.594729276537812,3.172064746211234
spec1d_HI.19980718.49487-Star+Iodine_HIRES_19980718T134447.328.fits,HI.19980718.49487,51012.57277,400.0,296.74116666666663,34.41694444444444,37,heliocentric,1.0000124436051032,0.0,3.730475749838452,3.730475749868909,3.723923363642581,3.717370977416253,3.7285018307700235,3.7245017561742793,-11.130853353770398,13.104772452655844,-4.578467127442476,4.000074595744252
spec1d_HI.19980719.24897-Star+Iodine_HIRES_19980719T065458.493.fits,HI.19980719.24897,51013.288177,427.0,296.7448333333333,34.42005555555556,37,heliocentric,1.0000136445452128,0.0,4.0905038409004195,4.090503840933008,4.083945700074651,4.0773875592162945,4.088526470427754,4.084298454958911,-11.138911211459934,13.116281716713196,-4.58077035310378,4.228015468843438
spec1d_HI.19980719.35708-Star+Iodine_HIRES_19980719T095509.034.fits,HI.19980719.35708,51013.413299,300.0,296.74274999999994,34.419333333333334,37,heliocentric,1.0000127136839665,0.0,3.8114423376672963,3.8114423376382067,3.8048826192909733,3.79832290094374,3.8094781161555535,3.805056492430038,-11.15521521181373,13.119436694466913,-4.595496864580273,4.421623725515467
spec1d_HI.19980719.49996-Star+Iodine_HIRES_19980719T135317.002.fits,HI.19980719.49996,51013.578669,427.0,296.7407916666666,34.41922222222222,37,heliocentric,1.000011453697056,0.0,3.433712329130931,3.433712329092085,3.4271507925442677,3.420589255996451,3.431728512886844,3.427698370974285,-11.139256890393412,13.123073095634208,-4.57772034257653,4.0301419125592375
